phase,task,workers,connections,run,requests_per_sec,latency_avg_ms,latency_stdev_ms,latency_max_ms,latency_p50_ms,latency_p75_ms,latency_p90_ms,latency_p99_ms,total_requests,socket_errors_connect,socket_errors_read,socket_errors_write,socket_errors_timeout,non_2xx_responses
main,io,24,64,2,138.48,459.79,63.1,709.13,456.39,500.03,541.62,618.74,8316,0,0,0,0,0
main,io,24,64,3,137.98,461.38,60.26,684.56,459.29,498.42,537.89,618.04,8292,0,0,0,0,0
main,io,24,64,4,139.68,456.05,60.56,703.55,454.08,492.81,532.13,610.84,8394,0,0,0,0,0
main,io,24,64,5,138.3,460.53,62.28,691.6,457.91,499.73,542.17,613.04,8310,0,0,0,0,0
main,io,32,8,1,144.76,55.13,14.09,144.54,53.25,62.59,73.36,99.39,8693,0,0,0,0,0
main,io,32,8,2,141.38,56.42,14.53,131.93,54.29,64.13,75.18,102.09,8497,0,0,0,0,0
main,io,32,8,3,140.66,56.74,14.64,142.07,54.08,64.36,75.87,102.78,8449,0,0,0,0,0
main,io,32,8,4,140.06,56.98,14.63,155.72,55.08,65.0,76.01,101.19,8410,0,0,0,0,0
main,io,32,8,5,131.24,60.81,14.51,143.08,58.56,68.55,79.97,105.78,7881,0,0,0,0,0
main,io,32,64,1,133.92,475.96,77.25,807.86,473.92,524.85,576.23,665.71,8047,0,0,0,0,0
main,io,32,64,2,133.79,476.26,77.38,763.37,472.52,524.86,578.11,666.01,8029,0,0,0,0,0
main,io,32,64,3,133.48,477.06,79.19,819.67,475.38,527.69,577.46,671.85,8021,0,0,0,0,0
main,io,32,64,4,132.92,479.1,76.04,777.85,479.47,528.18,573.78,667.29,7979,0,0,0,0,0
main,io,32,64,5,132.15,481.91,80.02,788.16,480.57,532.6,584.61,679.69,7937,0,0,0,0,0
validation,cpu,32,256,1,211.95,1190.0,94.47,1350.0,1200.0,1210.0,1230.0,1300.0,12730,0,0,0,0,0
validation,cpu,32,256,2,211.86,1190.0,94.24,1340.0,1200.0,1210.0,1230.0,1300.0,12731,0,0,0,0,0
validation,cpu,32,256,3,211.98,1190.0,94.82,1350.0,1200.0,1210.0,1230.0,1300.0,12727,0,0,0,0,0
validation,cpu,32,256,4,211.87,1200.0,94.29,1370.0,1200.0,1210.0,1230.0,1300.0,12733,0,0,0,0,0
validation,cpu,32,256,5,211.95,1200.0,93.23,1330.0,1200.0,1210.0,1230.0,1300.0,12725,0,0,0,0,0
validation,cpu,32,512,1,211.27,2370.0,236.57,2700.0,2410.0,2420.0,2440.0,2510.0,12696,0,0,0,0,0
validation,cpu,32,512,2,211.16,2370.0,238.19,2620.0,2410.0,2420.0,2430.0,2510.0,12679,0,0,0,0,0
validation,cpu,32,512,3,211.29,2370.0,238.08,2700.0,2410.0,2420.0,2440.0,2510.0,12698,0,0,0,0,0
validation,cpu,32,512,4,211.15,2370.0,236.66,2680.0,2410.0,2410.0,2430.0,2510.0,12686,0,0,0,0,0
validation,cpu,32,512,5,211.53,2370.0,239.96,2650.0,2410.0,2420.0,2430.0,2510.0,12705,0,0,0,0,0
validation,io,32,256,1,132.56,1900.0,199.02,2300.0,1920.0,1990.0,2060.0,2180.0,7967,0,0,0,0,0
validation,io,32,256,2,132.2,1900.0,206.73,2360.0,1920.0,1990.0,2060.0,2230.0,7945,0,0,0,0,0
validation,io,32,256,3,132.54,1900.0,206.17,2480.0,1910.0,1990.0,2070.0,2290.0,7963,0,0,0,0,0
validation,io,32,256,4,133.94,1880.0,191.88,2350.0,1890.0,1960.0,2029.9999999999998,2170.0,8047,0,0,0,0,0
validation,io,32,256,5,134.93,1860.0,194.62,2370.0,1880.0,1950.0,2020.0,2190.0,8102,0,0,0,0,0
validation,io,32,512,1,131.07,3780.0,325.17,5400.0,3800.0,3890.0,4000.0,4700.0,7876,0,0,0,0,0
validation,io,32,512,2,129.83,3810.0,301.19,5400.0,3820.0,3890.0,3980.0,4790.0,7798,0,0,0,0,0
validation,io,32,512,3,129.61,3810.0,307.17,5650.0,3810.0,3900.0,4010.0,5030.0,7785,0,0,0,0,0
validation,io,32,512,4,130.49,3780.0,316.18,5390.0,3770.0,3880.0,4070.0000000000005,4760.0,7839,0,0,0,0,0
validation,io,32,512,5,129.56,3810.0,294.1,5440.0,3820.0,3910.0,4010.0,4800.0,7777,0,0,0,0,0
